loss,penalty,max_iter,alpha,diff
squared_epsilon_insensitive,l2,2000,0.001,30
squared_epsilon_insensitive,l2,2000,0.01,25
squared_epsilon_insensitive,l2,2000,0.1,26
squared_epsilon_insensitive,l2,10000,0.0001,30
squared_epsilon_insensitive,l2,10000,0.001,28
squared_epsilon_insensitive,l2,10000,0.01,15
squared_epsilon_insensitive,l2,10000,0.1,27
squared_epsilon_insensitive,l2,50000,0.0001,29
squared_epsilon_insensitive,l2,50000,0.001,31
squared_epsilon_insensitive,l2,50000,0.01,30
squared_epsilon_insensitive,l2,50000,0.1,28
squared_epsilon_insensitive,l1,2000,0.0001,29
squared_epsilon_insensitive,l1,2000,0.001,28
squared_epsilon_insensitive,l1,2000,0.01,26
squared_epsilon_insensitive,l1,2000,0.1,27
squared_epsilon_insensitive,l1,10000,0.0001,30
squared_epsilon_insensitive,l1,10000,0.001,25
squared_epsilon_insensitive,l1,10000,0.01,26
squared_epsilon_insensitive,l1,10000,0.1,27
squared_epsilon_insensitive,l1,50000,0.0001,24
squared_epsilon_insensitive,l1,50000,0.001,20
squared_epsilon_insensitive,l1,50000,0.01,30
squared_epsilon_insensitive,l1,50000,0.1,28
squared_epsilon_insensitive,elasticnet,2000,0.0001,27
squared_epsilon_insensitive,elasticnet,2000,0.001,26
squared_epsilon_insensitive,elasticnet,2000,0.01,26
squared_epsilon_insensitive,elasticnet,2000,0.1,30
squared_epsilon_insensitive,elasticnet,10000,0.0001,29
squared_epsilon_insensitive,elasticnet,10000,0.001,29
squared_epsilon_insensitive,elasticnet,10000,0.01,27
squared_epsilon_insensitive,elasticnet,10000,0.1,30
squared_epsilon_insensitive,elasticnet,50000,0.0001,29
squared_epsilon_insensitive,elasticnet,50000,0.001,27
squared_epsilon_insensitive,elasticnet,50000,0.01,28
squared_epsilon_insensitive,elasticnet,50000,0.1,18
