loss,penalty,max_iter,alpha,Difference
squared_epsilon_insensitive,l2,1333,0.001,729
squared_epsilon_insensitive,l2,1333,0.01,733
squared_epsilon_insensitive,l2,1333,0.1,736
squared_epsilon_insensitive,l2,4216,0.0001,728
squared_epsilon_insensitive,l2,4216,0.001,735
squared_epsilon_insensitive,l2,4216,0.01,740
squared_epsilon_insensitive,l2,4216,0.1,740
squared_epsilon_insensitive,l2,13333,0.0001,733
squared_epsilon_insensitive,l2,13333,0.001,729
squared_epsilon_insensitive,l2,13333,0.01,729
squared_epsilon_insensitive,l2,13333,0.1,734
squared_epsilon_insensitive,l1,1333,0.0001,738
squared_epsilon_insensitive,l1,1333,0.001,742
squared_epsilon_insensitive,l1,1333,0.01,731
squared_epsilon_insensitive,l1,1333,0.1,742
squared_epsilon_insensitive,l1,4216,0.0001,739
squared_epsilon_insensitive,l1,4216,0.001,734
squared_epsilon_insensitive,l1,4216,0.01,734
squared_epsilon_insensitive,l1,4216,0.1,738
squared_epsilon_insensitive,l1,13333,0.0001,742
squared_epsilon_insensitive,l1,13333,0.001,733
squared_epsilon_insensitive,l1,13333,0.01,736
squared_epsilon_insensitive,l1,13333,0.1,737
squared_epsilon_insensitive,elasticnet,1333,0.0001,734
squared_epsilon_insensitive,elasticnet,1333,0.001,732
squared_epsilon_insensitive,elasticnet,1333,0.01,736
squared_epsilon_insensitive,elasticnet,1333,0.1,739
squared_epsilon_insensitive,elasticnet,4216,0.0001,735
squared_epsilon_insensitive,elasticnet,4216,0.001,731
squared_epsilon_insensitive,elasticnet,4216,0.01,731
squared_epsilon_insensitive,elasticnet,4216,0.1,737
squared_epsilon_insensitive,elasticnet,13333,0.0001,734
squared_epsilon_insensitive,elasticnet,13333,0.001,736
squared_epsilon_insensitive,elasticnet,13333,0.01,734
squared_epsilon_insensitive,elasticnet,13333,0.1,736
