Weight,DistanceMetric,Algorithm,Neighbours,Difference
uniform,manhattan,ball_tree,50,16
uniform,manhattan,ball_tree,100,18
uniform,manhattan,kd_tree,1,16
uniform,manhattan,kd_tree,2,12
uniform,manhattan,kd_tree,3,13
uniform,manhattan,kd_tree,4,10
uniform,manhattan,kd_tree,5,14
uniform,manhattan,kd_tree,6,11
uniform,manhattan,kd_tree,7,9
uniform,manhattan,kd_tree,8,9
uniform,manhattan,kd_tree,9,10
uniform,manhattan,kd_tree,10,10
uniform,manhattan,kd_tree,15,15
uniform,manhattan,kd_tree,20,13
uniform,manhattan,kd_tree,25,14
uniform,manhattan,kd_tree,30,14
uniform,manhattan,kd_tree,50,17
uniform,manhattan,kd_tree,100,16
uniform,manhattan,brute,1,17
uniform,manhattan,brute,2,10
uniform,manhattan,brute,3,10
uniform,manhattan,brute,4,6
uniform,manhattan,brute,5,9
uniform,manhattan,brute,6,8
uniform,manhattan,brute,7,12
uniform,manhattan,brute,8,11
uniform,manhattan,brute,9,12
uniform,manhattan,brute,10,9
uniform,manhattan,brute,15,15
uniform,manhattan,brute,20,14
uniform,manhattan,brute,25,15
uniform,manhattan,brute,30,16
uniform,manhattan,brute,50,16
uniform,manhattan,brute,100,14
