loss,penalty,max_iter,alpha,diff
squared_epsilon_insensitive,l2,4587,0.001,8
squared_epsilon_insensitive,l2,4587,0.01,6
squared_epsilon_insensitive,l2,4587,0.1,100
squared_epsilon_insensitive,l2,14506,0.0001,87
squared_epsilon_insensitive,l2,14506,0.001,6
squared_epsilon_insensitive,l2,14506,0.01,6
squared_epsilon_insensitive,l2,14506,0.1,117
squared_epsilon_insensitive,l2,45872,0.0001,120
squared_epsilon_insensitive,l2,45872,0.001,8
squared_epsilon_insensitive,l2,45872,0.01,5
squared_epsilon_insensitive,l2,45872,0.1,117
squared_epsilon_insensitive,l1,4587,0.0001,102
squared_epsilon_insensitive,l1,4587,0.001,5
squared_epsilon_insensitive,l1,4587,0.01,32
squared_epsilon_insensitive,l1,4587,0.1,102
squared_epsilon_insensitive,l1,14506,0.0001,102
squared_epsilon_insensitive,l1,14506,0.001,7
squared_epsilon_insensitive,l1,14506,0.01,6
squared_epsilon_insensitive,l1,14506,0.1,107
squared_epsilon_insensitive,l1,45872,0.0001,184
squared_epsilon_insensitive,l1,45872,0.001,6
squared_epsilon_insensitive,l1,45872,0.01,6
squared_epsilon_insensitive,l1,45872,0.1,111
squared_epsilon_insensitive,elasticnet,4587,0.0001,88
squared_epsilon_insensitive,elasticnet,4587,0.001,6
squared_epsilon_insensitive,elasticnet,4587,0.01,5
squared_epsilon_insensitive,elasticnet,4587,0.1,118
squared_epsilon_insensitive,elasticnet,14506,0.0001,57
squared_epsilon_insensitive,elasticnet,14506,0.001,8
squared_epsilon_insensitive,elasticnet,14506,0.01,6
squared_epsilon_insensitive,elasticnet,14506,0.1,118
squared_epsilon_insensitive,elasticnet,45872,0.0001,144
squared_epsilon_insensitive,elasticnet,45872,0.001,7
squared_epsilon_insensitive,elasticnet,45872,0.01,6
squared_epsilon_insensitive,elasticnet,45872,0.1,99
