Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
distance,manhattan,ball_tree,5,124,0.9628178609915911,0.9626168224299065,0.96256053665909
distance,manhattan,ball_tree,6,122,0.9634476501059066,0.9632197769068436,0.9631614552644308
distance,manhattan,ball_tree,7,127,0.9619224920557332,0.9617123907145011,0.9616532146602861
distance,manhattan,ball_tree,8,123,0.9630858070066678,0.962918299668375,0.9628668666489044
distance,manhattan,ball_tree,9,127,0.9619477089978508,0.9617123907145011,0.9616501357304087
distance,manhattan,ball_tree,10,128,0.9616323831236674,0.9614109134760326,0.9613497235561241
distance,manhattan,ball_tree,15,122,0.9633773580897448,0.9632197769068436,0.9631702024111566
distance,manhattan,ball_tree,20,125,0.9625275226139289,0.962315345191438,0.9622571010435886
distance,manhattan,ball_tree,25,126,0.9622374721177471,0.9620138679529695,0.9619536341255597
distance,manhattan,ball_tree,30,133,0.960132265308322,0.9599035272836901,0.9598383311192468
distance,manhattan,ball_tree,50,141,0.957886893059021,0.9574917093759421,0.9574014006516863
distance,manhattan,ball_tree,100,159,0.9527350185523843,0.9520651190835092,0.9519293652162631
distance,manhattan,kd_tree,1,105,0.9686922928105018,0.9683448899608079,0.9682856378041184
distance,manhattan,kd_tree,2,104,0.9686521476855349,0.9686463671992764,0.9686317922533987
distance,manhattan,kd_tree,3,121,0.9637375837303203,0.963521254145312,0.9634648738101939
distance,manhattan,kd_tree,4,116,0.9651159351022763,0.9650286403376545,0.964992221095771
distance,manhattan,kd_tree,5,123,0.9631325531721245,0.962918299668375,0.9628609874268911
distance,manhattan,kd_tree,6,125,0.9625795770757561,0.962315345191438,0.9622510114437376
distance,manhattan,kd_tree,7,127,0.9619224920557332,0.9617123907145011,0.9616532146602861
distance,manhattan,kd_tree,8,124,0.962772612725103,0.9626168224299065,0.962566435237569
distance,manhattan,kd_tree,9,126,0.9622374721177471,0.9620138679529695,0.9619536341255597
distance,manhattan,kd_tree,10,131,0.9607374132048314,0.960506481760627,0.960442265989634
distance,manhattan,kd_tree,15,125,0.9625035726722324,0.962315345191438,0.9622601027912329
distance,manhattan,kd_tree,20,124,0.9628178609915911,0.9626168224299065,0.96256053665909
distance,manhattan,kd_tree,25,124,0.9628178609915911,0.9626168224299065,0.96256053665909
distance,manhattan,kd_tree,30,127,0.9619224920557332,0.9617123907145011,0.9616532146602861
distance,manhattan,kd_tree,50,144,0.9570293190388327,0.9565872776605366,0.9564894503714442
distance,manhattan,kd_tree,100,161,0.9521280304587031,0.9514621646065722,0.9513247031435118
distance,manhattan,brute,1,113,0.9661837442734182,0.96593307205306,0.9658776798231195
distance,manhattan,brute,2,109,0.9671327912515119,0.967138981006934,0.9671336645624306
distance,manhattan,brute,3,124,0.9629868843979892,0.9626168224299065,0.9625421573660252
distance,manhattan,brute,4,110,0.9668857442891965,0.9668375037684654,0.9668103263181739
distance,manhattan,brute,5,123,0.9631084877568822,0.962918299668375,0.9628639411465731
distance,manhattan,brute,6,118,0.9645659651801188,0.9644256858607175,0.9643805027656576
distance,manhattan,brute,7,127,0.9619477089978508,0.9617123907145011,0.9616501357304087
distance,manhattan,brute,8,121,0.9636906084797333,0.963521254145312,0.9634706574351013
distance,manhattan,brute,9,122,0.9633994034169079,0.9632197769068436,0.9631673146804632
distance,manhattan,brute,10,121,0.9636906084797333,0.963521254145312,0.9634706574351013
distance,manhattan,brute,15,123,0.9631325531721245,0.962918299668375,0.9628609874268911
distance,manhattan,brute,20,126,0.9622634400158375,0.9620138679529695,0.9619505649696523
distance,manhattan,brute,25,128,0.9616323831236674,0.9614109134760326,0.9613497235561241
distance,manhattan,brute,30,129,0.9613425611013412,0.9611094362375641,0.9610462008600212
distance,manhattan,brute,50,144,0.9570652195583229,0.9565872776605366,0.9564856774131685
distance,manhattan,brute,100,160,0.952453228573062,0.9517636418450407,0.951624822346221
uniform,euclidean,ball_tree,1,125,0.9626076847469957,0.962315345191438,0.9622479235531586
uniform,euclidean,ball_tree,2,191,0.9434382854822532,0.9424178474525173,0.9425189476927569
uniform,euclidean,ball_tree,3,184,0.9445467314683492,0.9445281881217968,0.9444786670130796
uniform,euclidean,ball_tree,4,189,0.9435868101725342,0.9430208019294544,0.9430970374310494
uniform,euclidean,ball_tree,5,196,0.9409434075308564,0.9409104612601749,0.9408489252997511
uniform,euclidean,ball_tree,6,212,0.9364715209591594,0.9360868254446789,0.9361556315274863
uniform,euclidean,ball_tree,7,208,0.9373068323046484,0.9372927343985529,0.9372321162312829
uniform,euclidean,ball_tree,8,217,0.9347371039536615,0.9345794392523364,0.9346205424465268
uniform,euclidean,ball_tree,9,213,0.9358124491958557,0.9357853482062104,0.9357160577219138
uniform,euclidean,ball_tree,10,225,0.932350651734459,0.9321676213445885,0.9322140068717946
uniform,euclidean,ball_tree,15,217,0.9345546211807146,0.9345794392523364,0.934542197054489
uniform,euclidean,ball_tree,20,239,0.9279621354313555,0.9279469400060295,0.9279537718429133
uniform,euclidean,ball_tree,25,258,0.9222690562694297,0.9222188724751281,0.9221079277668811
uniform,euclidean,ball_tree,30,240,0.9277294508584178,0.9276454627675611,0.9275365225659806
uniform,euclidean,ball_tree,50,276,0.9171126132921311,0.9167922821826953,0.9165828940066134
uniform,euclidean,ball_tree,100,316,0.9053594305007924,0.9047331926439554,0.9043959389353998
uniform,euclidean,kd_tree,1,125,0.9626076847469957,0.962315345191438,0.9622479235531586
uniform,euclidean,kd_tree,2,191,0.9434906320043993,0.9424178474525173,0.9425211192388299
