Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
distance,manhattan,kd_tree,15,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,20,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,kd_tree,25,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,kd_tree,30,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,brute,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,brute,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,brute,3,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,brute,4,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,brute,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,8,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,9,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,10,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,15,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,brute,20,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,brute,25,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,brute,30,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
uniform,euclidean,ball_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,euclidean,ball_tree,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,ball_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,ball_tree,4,3,0.8709677419354839,0.9032258064516129,0.875268817204301
uniform,euclidean,ball_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,ball_tree,6,4,0.8586789554531491,0.8709677419354839,0.8489875715682167
uniform,euclidean,ball_tree,7,4,0.8709677419354839,0.8709677419354839,0.8540706605222733
uniform,euclidean,ball_tree,8,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,euclidean,ball_tree,9,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,ball_tree,10,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,ball_tree,15,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,ball_tree,20,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,ball_tree,25,9,0.529032258064516,0.7096774193548387,0.6055693410532119
uniform,euclidean,ball_tree,30,13,0.3655913978494623,0.5806451612903226,0.444995864350703
uniform,euclidean,kd_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,euclidean,kd_tree,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,kd_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,kd_tree,4,3,0.8709677419354839,0.9032258064516129,0.875268817204301
uniform,euclidean,kd_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,kd_tree,6,4,0.8586789554531491,0.8709677419354839,0.8489875715682167
uniform,euclidean,kd_tree,7,4,0.8709677419354839,0.8709677419354839,0.8540706605222733
uniform,euclidean,kd_tree,8,6,0.7526881720430109,0.8064516129032258,0.7612903225806452
uniform,euclidean,kd_tree,9,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,kd_tree,10,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,kd_tree,15,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,kd_tree,20,7,0.6612903225806451,0.7741935483870968,0.7042543244506778
uniform,euclidean,kd_tree,25,9,0.529032258064516,0.7096774193548387,0.6055693410532119
uniform,euclidean,kd_tree,30,13,0.3655913978494623,0.5806451612903226,0.444995864350703
uniform,euclidean,brute,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
uniform,euclidean,brute,2,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,brute,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,brute,4,3,0.8709677419354839,0.9032258064516129,0.875268817204301
uniform,euclidean,brute,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
uniform,euclidean,brute,6,4,0.8586789554531491,0.8709677419354839,0.8489875715682167
