Weight,DistanceMetric,Algorithm,Neighbours,Difference
uniform,manhattan,kd_tree,8,4
uniform,manhattan,kd_tree,9,4
uniform,manhattan,kd_tree,10,4
uniform,manhattan,kd_tree,15,6
uniform,manhattan,kd_tree,20,7
uniform,manhattan,kd_tree,25,7
uniform,manhattan,kd_tree,30,12
uniform,manhattan,kd_tree,50,17
uniform,manhattan,brute,1,2
uniform,manhattan,brute,2,3
uniform,manhattan,brute,3,3
uniform,manhattan,brute,4,4
uniform,manhattan,brute,5,4
uniform,manhattan,brute,6,4
uniform,manhattan,brute,7,4
uniform,manhattan,brute,8,5
uniform,manhattan,brute,9,5
uniform,manhattan,brute,10,5
uniform,manhattan,brute,15,6
uniform,manhattan,brute,20,6
uniform,manhattan,brute,25,7
uniform,manhattan,brute,30,12
uniform,manhattan,brute,50,17
